,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType_x,isGoal_x,cardType_y,isGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,shirtNo,name,position,isFirstEleven,pro,shortName
10,10,2701068007.0,10,0,56.0,338,61.845,0.0,0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.76'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.4'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.1'}]","[91, 212, 35, 37, 216]",True,106883.0,61.005,2.9920000000000004,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,1.1152412206040196,D. Carvajal
11,11,2701068013.0,11,0,57.0,338,61.005,2.9920000000000004,0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '1.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.86'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.2'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,261212.0,61.32,0.8160000000000001,,,,,,,,,,,,7.0,0.0,7.0,0.0,0.0174506,0.0174506,0.0,Spain,10.0,Dani Olmo,AMC,True,-1.0311411322100668,D. Olmo
12,12,2701068021.0,12,0,58.0,338,71.82000000000001,3.06,0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 70]",True,106883.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
13,13,2701068031.0,9,0,59.0,345,33.18,64.94,0,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '12'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 143]",True,379868.0,,,,,,,,,,,,,,,,,,,,,England,10.0,Jude Bellingham,AML,True,0.0,J. Bellingham
14,14,2701068035.0,10,1,0.0,345,36.75,65.348,1,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '13'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 70]",True,331254.0,,,,,,,,,,,,,,,,,,,,,England,11.0,Phil Foden,AMC,True,0.0,P. Foden
15,15,2701068039.0,13,1,0.0,338,68.25,2.652,1,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 142]",True,106883.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
16,16,2701068353.0,20,1,0.0,345,45.78,64.87200000000001,1,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[91],True,331254.0,,,,,,,,,,,,,,,,,,,,,England,11.0,Phil Foden,AMC,True,0.0,P. Foden
17,17,2701068057.0,14,1,1.0,338,60.375,3.128,1,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.02'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,261212.0,46.410000000000004,4.896000000000001,,,,,,,,,,,,7.0,0.0,5.0,0.0,0.0174506,0.01248344,-0.00496716,Spain,10.0,Dani Olmo,AMC,True,-11.157436563312885,D. Olmo
18,18,2701068081.0,15,1,5.0,338,42.63,6.256,1,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.51'}]","[91, 117, 30, 35, 37, 215, 218]",True,303139.0,27.51,17.272000000000002,,,,,,,,,,,,4.0,0.0,2.0,2.0,0.01126267,0.01001304,-0.0012496299999999998,Spain,16.0,Rodri,DMC,True,-11.012667482256134,Rodri
19,19,2701068089.0,16,1,8.0,338,29.82,23.936000000000003,1,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.54'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '74.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.0'}]","[91, 117, 30, 36, 37, 215, 218]",True,367008.0,30.555000000000003,50.93200000000001,,,,,,,,,,,,3.0,2.0,3.0,6.0,0.01110462,0.0105949,-0.00050972,Spain,3.0,Robin Le Normand,DC,True,0.0,R. L. Normand
20,20,2701068111.0,17,1,14.0,338,34.125,49.300000000000004,1,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.74'}]","[91, 117, 30, 36, 38, 215, 218]",True,122117.0,34.86000000000001,21.284000000000002,,,,,,,,,,,,3.0,5.0,3.0,2.0,0.01110462,0.01110462,0.0,Spain,14.0,Aymeric Laporte,DC,True,0.0,A. Laporte
21,21,2701068123.0,18,1,22.0,338,35.805,23.256000000000004,1,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.50'}]","[91, 117, 30, 36, 37, 216, 218]",True,367008.0,37.48500000000001,46.51200000000001,,,,,,,,,,,,4.0,2.0,4.0,5.0,0.01269174,0.01269174,0.0,Spain,3.0,Robin Le Normand,DC,True,0.0,R. L. Normand
22,22,2701068133.0,19,1,28.0,338,56.7,50.728,1,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '24.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '41.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.33'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,122117.0,80.85000000000001,16.456,,,,,,,,,,,,6.0,6.0,9.0,1.0,0.01611813,0.02953272,0.013414589999999997,Spain,14.0,Aymeric Laporte,DC,True,21.26486860721919,A. Laporte
