Region,Year,Gender,Nationality,Population estimates
Northern Region,"2,011",Female,Non-Saudi,"15,287"
Hail,"2,019",Male,Non-Saudi,"158,747"
Eastern Region,"2,021",Female,Saudi,"1,413,447"
Hail,"2,011",Female,Saudi,"201,625"
Riyadh,"2,017",Female,Non-Saudi,"1,024,901"
Tabouk,"2,013",Male,Saudi,"261,129"
Madinah,"2,022",Female,Saudi,"679,397"
Najran,"2,012",Female,Non-Saudi,"34,155"
Al-Jouf,"2,017",Female,Saudi,"198,447"
Riyadh,"2,013",Male,Non-Saudi,"2,831,733"
Riyadh,"2,013",Male,Saudi,"1,794,724"
Northern Region,"2,014",Male,Saudi,"114,609"
Northern Region,"2,022",Female,Non-Saudi,"23,954"
Aseer,"2,017",Female,Saudi,"646,707"
Jazan,"2,011",Male,Saudi,"383,516"
Tabouk,"2,010",Male,Saudi,"244,052"
Najran,"2,020",Male,Non-Saudi,"148,729"
Northern Region,"2,019",Male,Saudi,"127,864"
Al-Jouf,"2,019",Female,Saudi,"206,987"
Hail,"2,020",Female,Saudi,"251,585"
Al-Baha,"2,012",Female,Saudi,"99,234"
Riyadh,"2,019",Male,Non-Saudi,"2,904,720"
Najran,"2,014",Male,Non-Saudi,"129,767"
Northern Region,"2,012",Female,Non-Saudi,"16,230"
Madinah,"2,017",Male,Saudi,"599,638"
Al-Jouf,"2,021",Female,Non-Saudi,"29,056"
Aseer,"2,021",Male,Non-Saudi,"437,661"
Hail,"2,016",Female,Non-Saudi,"38,463"
Eastern Region,"2,019",Male,Saudi,"1,401,278"
Makkah,"2,012",Female,Saudi,"1,608,752"
Aseer,"2,013",Male,Saudi,"579,440"
Jazan,"2,013",Male,Non-Saudi,"286,136"
Jazan,"2,014",Male,Saudi,"414,604"
Riyadh,"2,019",Female,Saudi,"2,046,070"
Aseer,"2,018",Male,Saudi,"652,700"
Northern Region,"2,012",Male,Saudi,"108,664"
Riyadh,"2,018",Male,Saudi,"2,035,530"
Al-Jouf,"2,016",Female,Non-Saudi,"28,944"
Hail,"2,018",Male,Saudi,"241,617"
Al-Baha,"2,021",Female,Saudi,"125,345"
Tabouk,"2,020",Male,Non-Saudi,"200,296"
Jazan,"2,021",Female,Saudi,"492,571"
Aseer,"2,012",Female,Non-Saudi,"87,999"
Qaseem,"2,019",Male,Non-Saudi,"321,411"
Eastern Region,"2,012",Male,Non-Saudi,"1,368,869"
Eastern Region,"2,020",Male,Non-Saudi,"1,739,871"
Makkah,"2,019",Male,Saudi,"1,927,746"
Madinah,"2,021",Male,Non-Saudi,"551,861"
Northern Region,"2,013",Female,Non-Saudi,"17,746"
Riyadh,"2,019",Male,Saudi,"2,086,662"
Tabouk,"2,014",Male,Non-Saudi,"172,196"
Madinah,"2,016",Female,Non-Saudi,"203,853"
Jazan,"2,015",Female,Non-Saudi,"106,027"
Hail,"2,015",Female,Non-Saudi,"36,952"
Aseer,"2,020",Male,Non-Saudi,"475,609"
Madinah,"2,020",Female,Non-Saudi,"195,897"
Qaseem,"2,020",Male,Non-Saudi,"340,300"
Al-Jouf,"2,019",Female,Non-Saudi,"27,622"
Qaseem,"2,016",Male,Non-Saudi,"394,872"
Madinah,"2,021",Female,Saudi,"664,660"
Eastern Region,"2,022",Male,Non-Saudi,"1,764,820"
Northern Region,"2,016",Male,Non-Saudi,"81,361"
Hail,"2,018",Male,Non-Saudi,"163,576"
Jazan,"2,019",Female,Saudi,"468,778"
Al-Jouf,"2,012",Female,Saudi,"176,392"
Northern Region,"2,019",Female,Saudi,"126,707"
Makkah,"2,020",Female,Non-Saudi,"1,153,302"
Al-Jouf,"2,021",Female,Saudi,"215,787"
Makkah,"2,018",Male,Non-Saudi,"2,849,054"
Qaseem,"2,011",Male,Non-Saudi,"293,324"
Qaseem,"2,022",Male,Non-Saudi,"331,195"
Jazan,"2,012",Male,Saudi,"392,305"
Eastern Region,"2,013",Female,Saudi,"1,157,930"
Al-Baha,"2,022",Male,Saudi,"122,883"
Eastern Region,"2,020",Female,Non-Saudi,"427,263"
Tabouk,"2,016",Female,Saudi,"277,342"
Jazan,"2,021",Female,Non-Saudi,"98,468"
Makkah,"2,022",Male,Non-Saudi,"2,805,048"
Hail,"2,013",Male,Saudi,"214,109"
Tabouk,"2,014",Male,Saudi,"268,809"
Al-Jouf,"2,014",Female,Saudi,"185,605"
Hail,"2,018",Female,Saudi,"239,508"
Madinah,"2,013",Female,Non-Saudi,"196,321"
Northern Region,"2,021",Male,Non-Saudi,"70,681"
Al-Jouf,"2,018",Male,Saudi,"202,935"
Madinah,"2,018",Male,Non-Saudi,"590,568"
Al-Baha,"2,015",Female,Saudi,"108,025"
Al-Jouf,"2,015",Female,Non-Saudi,"27,810"
Hail,"2,014",Male,Saudi,"220,505"
Northern Region,"2,010",Female,Saudi,"103,078"
Al-Jouf,"2,013",Female,Saudi,"180,666"
Riyadh,"2,010",Female,Non-Saudi,"796,782"
Jazan,"2,011",Female,Non-Saudi,"95,100"
Al-Jouf,"2,017",Female,Non-Saudi,"29,670"
Al-Baha,"2,015",Female,Non-Saudi,"18,064"
Tabouk,"2,018",Female,Non-Saudi,"40,972"
Madinah,"2,011",Female,Saudi,"519,999"
Northern Region,"2,014",Female,Saudi,"113,247"
Al-Jouf,"2,014",Male,Non-Saudi,"114,009"
Riyadh,"2,011",Female,Saudi,"1,671,318"
Eastern Region,"2,010",Female,Saudi,"1,077,728"
Eastern Region,"2,021",Male,Non-Saudi,"1,597,497"
Riyadh,"2,022",Male,Saudi,"2,242,045"
Hail,"2,011",Female,Non-Saudi,"30,448"
Madinah,"2,014",Female,Non-Saudi,"197,755"
Madinah,"2,017",Female,Non-Saudi,"203,242"
Al-Jouf,"2,012",Female,Non-Saudi,"23,877"
Qaseem,"2,018",Female,Non-Saudi,"78,408"
Al-Jouf,"2,017",Male,Saudi,"198,781"
Jazan,"2,012",Female,Saudi,"392,808"
Qaseem,"2,019",Female,Non-Saudi,"75,593"
Hail,"2,022",Male,Saudi,"265,107"
Najran,"2,014",Female,Saudi,"165,373"
Najran,"2,021",Male,Non-Saudi,"137,194"
Hail,"2,013",Male,Non-Saudi,"142,421"
Qaseem,"2,012",Female,Non-Saudi,"74,544"
Northern Region,"2,022",Male,Non-Saudi,"78,265"
Makkah,"2,013",Female,Saudi,"1,653,242"
Makkah,"2,020",Female,Saudi,"1,984,600"
Al-Baha,"2,021",Male,Saudi,"120,156"
Al-Jouf,"2,022",Male,Non-Saudi,"125,328"
Makkah,"2,021",Female,Non-Saudi,"1,049,612"
Makkah,"2,021",Male,Non-Saudi,"2,583,425"
Hail,"2,014",Female,Non-Saudi,"35,266"
Al-Jouf,"2,010",Male,Non-Saudi,"83,154"
Hail,"2,014",Female,Saudi,"217,924"
Al-Baha,"2,018",Male,Saudi,"111,589"
Eastern Region,"2,010",Male,Saudi,"1,120,586"
Makkah,"2,021",Female,Saudi,"2,032,042"
Tabouk,"2,021",Female,Non-Saudi,"41,163"
Tabouk,"2,015",Male,Non-Saudi,"192,670"
Tabouk,"2,015",Male,Saudi,"275,939"
Al-Jouf,"2,013",Female,Non-Saudi,"25,616"
Eastern Region,"2,014",Male,Non-Saudi,"1,564,484"
Qaseem,"2,012",Male,Non-Saudi,"314,519"
Najran,"2,011",Female,Saudi,"153,469"
Aseer,"2,019",Male,Non-Saudi,"439,113"
Hail,"2,019",Female,Non-Saudi,"36,734"
Tabouk,"2,019",Male,Saudi,"300,852"
Aseer,"2,017",Male,Non-Saudi,"493,527"
Hail,"2,019",Male,Saudi,"247,491"
Hail,"2,012",Female,Non-Saudi,"31,707"
Jazan,"2,019",Male,Saudi,"465,289"
Al-Jouf,"2,014",Male,Saudi,"186,470"
Al-Baha,"2,014",Male,Saudi,"101,794"
Al-Baha,"2,021",Female,Non-Saudi,"16,257"
Najran,"2,015",Male,Non-Saudi,"144,817"
Makkah,"2,015",Male,Saudi,"1,756,374"
Al-Baha,"2,015",Male,Saudi,"104,524"
Madinah,"2,021",Male,Saudi,"658,453"
Tabouk,"2,020",Female,Non-Saudi,"44,416"
Makkah,"2,015",Female,Saudi,"1,753,158"
