Region,Year,Gender,Nationality,Population estimates
Aseer,"2,011",Male,Non-Saudi,"334,823"
Madinah,"2,017",Female,Saudi,"604,703"
Aseer,"2,014",Female,Non-Saudi,"94,571"
Al-Jouf,"2,011",Male,Non-Saudi,"92,164"
Jazan,"2,010",Female,Saudi,"375,471"
Al-Baha,"2,015",Male,Non-Saudi,"81,945"
Riyadh,"2,014",Female,Non-Saudi,"936,085"
Riyadh,"2,010",Male,Non-Saudi,"2,122,121"
Najran,"2,018",Female,Non-Saudi,"41,338"
Al-Baha,"2,012",Female,Non-Saudi,"16,752"
Madinah,"2,014",Male,Saudi,"559,725"
Tabouk,"2,011",Male,Saudi,"248,842"
Northern Region,"2,013",Male,Saudi,"111,421"
Tabouk,"2,013",Female,Saudi,"256,629"
Al-Baha,"2,016",Female,Saudi,"110,757"
Makkah,"2,012",Male,Non-Saudi,"2,582,311"
Madinah,"2,012",Female,Non-Saudi,"188,259"
Al-Baha,"2,017",Female,Non-Saudi,"18,323"
Tabouk,"2,022",Male,Non-Saudi,"205,977"
Northern Region,"2,021",Female,Non-Saudi,"22,741"
Hail,"2,020",Male,Non-Saudi,"172,985"
Jazan,"2,014",Female,Saudi,"415,289"
Qaseem,"2,014",Male,Non-Saudi,"345,482"
Jazan,"2,018",Female,Non-Saudi,"101,035"
Northern Region,"2,021",Male,Saudi,"133,588"
Tabouk,"2,018",Male,Saudi,"293,945"
Qaseem,"2,018",Male,Non-Saudi,"340,886"
Hail,"2,010",Male,Saudi,"199,934"
Madinah,"2,010",Male,Non-Saudi,"421,795"
Makkah,"2,011",Female,Saudi,"1,570,069"
Hail,"2,016",Male,Saudi,"231,701"
Hail,"2,010",Female,Non-Saudi,"29,089"
Makkah,"2,010",Male,Saudi,"1,541,652"
Northern Region,"2,018",Male,Saudi,"125,029"
Qaseem,"2,011",Female,Saudi,"355,120"
Tabouk,"2,017",Female,Saudi,"283,010"
Hail,"2,015",Female,Saudi,"223,897"
Riyadh,"2,020",Male,Non-Saudi,"3,124,464"
Najran,"2,017",Male,Non-Saudi,"153,138"
Najran,"2,017",Male,Saudi,"177,411"
Al-Jouf,"2,015",Male,Non-Saudi,"126,144"
Eastern Region,"2,015",Female,Non-Saudi,"395,711"
Eastern Region,"2,015",Male,Non-Saudi,"1,736,772"
Northern Region,"2,017",Male,Saudi,"122,394"
Aseer,"2,015",Female,Non-Saudi,"97,456"
Tabouk,"2,017",Female,Non-Saudi,"43,610"
Hail,"2,015",Male,Non-Saudi,"165,334"
Qaseem,"2,015",Female,Non-Saudi,"81,928"
Aseer,"2,015",Male,Saudi,"612,226"
Aseer,"2,020",Female,Non-Saudi,"100,638"
Aseer,"2,020",Male,Saudi,"686,327"
Al-Baha,"2,020",Female,Saudi,"122,365"
Makkah,"2,017",Male,Saudi,"1,835,981"
Najran,"2,017",Female,Non-Saudi,"43,408"
Najran,"2,017",Female,Saudi,"177,215"
Al-Jouf,"2,015",Male,Saudi,"191,142"
Jazan,"2,022",Female,Saudi,"503,886"
Al-Baha,"2,017",Female,Saudi,"113,257"
Jazan,"2,022",Female,Non-Saudi,"100,532"
Aseer,"2,013",Female,Saudi,"584,082"
Al-Baha,"2,014",Female,Non-Saudi,"17,682"
Makkah,"2,016",Male,Saudi,"1,798,985"
Qaseem,"2,017",Male,Saudi,"410,211"
Aseer,"2,012",Male,Non-Saudi,"367,122"
Tabouk,"2,014",Female,Non-Saudi,"40,199"
Al-Baha,"2,014",Male,Non-Saudi,"75,412"
Jazan,"2,016",Female,Saudi,"437,497"
Najran,"2,013",Female,Saudi,"160,858"
Najran,"2,019",Male,Non-Saudi,"136,969"
Aseer,"2,022",Male,Non-Saudi,"484,543"
Northern Region,"2,020",Female,Saudi,"129,777"
Hail,"2,022",Female,Non-Saudi,"40,222"
Jazan,"2,012",Male,Non-Saudi,"259,647"
Eastern Region,"2,018",Male,Non-Saudi,"1,673,054"
Madinah,"2,018",Female,Saudi,"618,598"
Jazan,"2,018",Female,Saudi,"457,451"
Riyadh,"2,012",Male,Saudi,"1,746,263"
Madinah,"2,013",Male,Saudi,"543,503"
Northern Region,"2,020",Male,Saudi,"131,023"
Jazan,"2,018",Male,Saudi,"454,221"
Eastern Region,"2,022",Female,Saudi,"1,444,796"
Najran,"2,014",Male,Saudi,"166,042"
Qaseem,"2,013",Female,Non-Saudi,"78,423"
Najran,"2,022",Male,Saudi,"197,668"
Makkah,"2,019",Male,Non-Saudi,"2,694,938"
Aseer,"2,012",Female,Saudi,"569,003"
Al-Jouf,"2,022",Male,Saudi,"220,359"
Northern Region,"2,020",Female,Non-Saudi,"24,006"
Najran,"2,016",Male,Saudi,"174,112"
Hail,"2,016",Male,Non-Saudi,"178,799"
Makkah,"2,014",Male,Non-Saudi,"2,852,658"
Hail,"2,012",Male,Saudi,"208,594"
Eastern Region,"2,020",Male,Saudi,"1,439,974"
Eastern Region,"2,017",Male,Non-Saudi,"1,817,812"
Najran,"2,014",Female,Non-Saudi,"38,338"
Riyadh,"2,018",Female,Non-Saudi,"965,668"
Riyadh,"2,019",Female,Non-Saudi,"941,810"
Riyadh,"2,012",Female,Non-Saudi,"854,406"
Madinah,"2,020",Male,Non-Saudi,"605,356"
Aseer,"2,020",Female,Saudi,"696,103"
Madinah,"2,015",Male,Non-Saudi,"626,728"
Al-Jouf,"2,020",Female,Saudi,"211,750"
Madinah,"2,016",Male,Saudi,"588,122"
Riyadh,"2,014",Female,Saudi,"1,811,466"
Aseer,"2,010",Female,Non-Saudi,"83,691"
Northern Region,"2,015",Male,Saudi,"117,567"
Northern Region,"2,015",Female,Saudi,"116,221"
Al-Baha,"2,013",Female,Saudi,"101,946"
Al-Baha,"2,011",Male,Saudi,"94,235"
Al-Baha,"2,013",Male,Non-Saudi,"75,077"
Al-Baha,"2,018",Male,Non-Saudi,"73,960"
Riyadh,"2,010",Female,Saudi,"1,635,160"
Najran,"2,022",Male,Non-Saudi,"152,265"
Hail,"2,016",Female,Saudi,"229,345"
Jazan,"2,010",Female,Non-Saudi,"92,868"
Riyadh,"2,016",Female,Non-Saudi,"1,006,495"
Hail,"2,017",Female,Saudi,"234,193"
Hail,"2,022",Male,Non-Saudi,"178,299"
Qaseem,"2,013",Male,Saudi,"371,679"
Riyadh,"2,012",Male,Non-Saudi,"2,555,208"
Qaseem,"2,016",Female,Saudi,"404,745"
Eastern Region,"2,016",Male,Non-Saudi,"1,861,202"
Makkah,"2,012",Male,Saudi,"1,611,601"
Hail,"2,013",Female,Non-Saudi,"34,022"
Eastern Region,"2,018",Female,Non-Saudi,"392,095"
Northern Region,"2,012",Male,Non-Saudi,"59,213"
Jazan,"2,012",Female,Non-Saudi,"96,882"
Al-Baha,"2,012",Male,Non-Saudi,"68,850"
Eastern Region,"2,022",Male,Saudi,"1,505,058"
Eastern Region,"2,021",Male,Saudi,"1,471,933"
Tabouk,"2,019",Female,Saudi,"295,842"
