Category,States/ UTs/Cities,Year,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
City,Jabalpur,2003,0,0,0,0,0,0,0,0,61,1,2,15,41,2,0,61,61,1,2,15,41,2,0,61
City,Jaipur,2003,3,0,0,0,1,2,0,3,32,3,2,2,18,6,1,32,35,3,2,2,19,8,1,35
City,Jamshedpur,2003,12,0,2,6,4,0,0,12,36,0,6,15,8,7,0,36,48,0,8,21,12,7,0,48
City,Kanpur,2003,0,0,0,0,0,0,0,0,24,0,0,0,19,5,0,24,24,0,0,0,19,5,0,24
City,Kochi,2003,0,0,0,0,0,0,0,0,11,1,1,1,3,4,1,11,11,1,1,1,3,4,1,11
City,Kolkata,2003,3,1,2,0,0,0,0,3,33,4,5,4,16,3,1,33,36,5,7,4,16,3,1,36
City,Lucknow,2003,0,0,0,0,0,0,0,0,20,1,2,4,7,6,0,20,20,1,2,4,7,6,0,20
City,Ludhiana,2003,1,0,1,0,0,0,0,1,32,5,5,16,6,0,0,32,33,5,6,16,6,0,0,33
City,Madurai,2003,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,7
City,Meerut,2003,4,1,0,1,2,0,0,4,10,0,1,1,5,3,0,10,14,1,1,2,7,3,0,14
City,Mumbai,2003,0,0,0,0,0,0,0,0,133,9,20,79,23,8,0,139,133,9,20,79,23,8,0,139
City,Nagpur,2003,1,0,0,2,0,0,0,2,25,5,3,9,6,2,0,25,26,5,3,11,6,2,0,27
City,Nasik,2003,0,0,0,0,0,0,0,0,11,3,1,3,4,0,0,11,11,3,1,3,4,0,0,11
City,Patna,2003,0,0,0,0,0,0,0,0,15,0,1,0,14,0,0,15,15,0,1,0,14,0,0,15
City,Pune,2003,0,0,0,0,0,0,0,0,40,10,5,17,4,4,0,40,40,10,5,17,4,4,0,40
City,Rajkot,2003,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,5,5,0,0,4,1,0,0,5
City,Surat,2003,0,0,0,0,0,0,0,0,25,7,7,6,3,1,0,24,25,7,7,6,3,1,0,24
City,Vadodara,2003,0,0,0,0,0,0,0,0,8,2,1,3,1,1,0,8,8,2,1,3,1,1,0,8
City,Varanasi,2003,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,4,4,0,3,1,0,0,0,4
City,Vijayawada,2003,0,0,0,0,0,0,0,0,27,2,0,4,16,5,0,27,27,2,0,4,16,5,0,27
City,Vishakhapatnam,2003,0,0,0,0,0,0,0,0,9,2,4,0,3,0,0,9,9,2,4,0,3,0,0,9
State,Andhra Pradesh,2001,4,0,2,0,2,0,0,4,867,57,136,254,326,80,14,867,871,57,138,254,328,80,14,871
State,Arunachal Pradesh,2001,0,0,0,0,0,0,0,0,33,0,0,1,28,4,0,33,33,0,0,1,28,4,0,33
State,Assam,2001,8,0,1,7,0,0,0,8,809,8,72,238,370,119,2,809,817,8,73,245,370,119,2,817
State,Bihar,2001,8,0,2,5,1,0,0,8,880,1,13,193,561,112,0,880,888,1,15,198,562,112,0,888
State,Chhattisgarh,2001,6,0,3,1,1,1,0,6,953,25,188,217,383,136,4,953,959,25,191,218,384,137,4,959
State,Goa,2001,0,0,0,0,0,0,0,0,12,3,7,1,0,1,0,12,12,3,7,1,0,1,0,12
State,Gujarat,2001,2,0,0,2,0,0,0,2,284,15,23,85,125,36,0,284,286,15,23,87,125,36,0,286
State,Haryana,2001,0,0,0,0,0,0,0,0,398,34,62,125,134,40,3,398,398,34,62,125,134,40,3,398
State,Himachal Pradesh,2001,0,0,0,0,0,0,0,0,124,20,15,43,35,9,2,124,124,20,15,43,35,9,2,124
State,Jammu & Kashmir,2001,2,0,0,1,1,0,0,2,167,0,24,40,83,20,0,167,169,0,24,41,84,20,0,169
State,Jharkhand,2001,12,1,3,4,2,2,0,12,555,8,0,0,476,71,0,555,567,9,3,4,478,73,0,567
State,Karnataka,2001,5,3,0,1,1,0,0,5,288,21,63,61,122,21,0,288,293,24,63,62,123,21,0,293
State,Kerala,2001,4,1,0,1,1,0,1,4,558,18,46,125,305,64,0,558,562,19,46,126,306,64,1,562
State,Madhya Pradesh,2001,301,10,39,66,130,56,0,301,2550,76,265,491,1120,571,27,2550,2851,86,304,557,1250,627,27,2851
State,Maharashtra,2001,20,1,5,6,4,4,0,20,1282,88,147,413,499,131,4,1282,1302,89,152,419,503,135,4,1302
State,Manipur,2001,2,2,0,0,0,0,0,2,18,1,1,4,9,2,1,18,20,3,1,4,9,2,1,20
State,Meghalaya,2001,5,1,0,1,1,2,0,5,21,2,2,3,13,1,0,21,26,3,2,4,14,3,0,26
State,Mizoram,2001,0,0,0,0,0,0,0,0,52,0,0,30,14,8,0,52,52,0,0,30,14,8,0,52
State,Nagaland,2001,1,0,0,0,0,1,0,1,16,0,0,8,6,2,0,16,17,0,0,8,6,3,0,17
State,Orissa,2001,4,0,0,3,1,0,0,4,786,8,9,294,401,74,0,786,790,8,9,297,402,74,0,790
State,Punjab,2001,0,0,0,0,0,0,0,0,298,8,30,137,98,24,1,298,298,8,30,137,98,24,1,298
State,Rajasthan,2001,18,1,1,7,8,1,0,18,1031,15,43,222,598,146,7,1031,1049,16,44,229,606,147,7,1049
State,Sikkim,2001,1,1,0,0,0,0,0,1,7,0,0,4,2,1,0,7,8,1,0,4,2,1,0,8
State,Tamil Nadu,2001,21,0,2,4,13,2,0,21,402,6,13,170,179,32,2,402,423,6,15,174,192,34,2,423
State,Tripura,2001,0,0,0,0,0,0,0,0,102,0,0,50,47,5,0,102,102,0,0,50,47,5,0,102
State,Uttar Pradesh,2001,3,0,2,0,1,0,0,3,1955,34,120,406,1081,314,0,1955,1958,34,122,406,1082,314,0,1958
State,Uttaranchal,2001,0,0,0,0,0,0,0,0,74,6,7,16,38,7,0,74,74,6,7,16,38,7,0,74
State,West Bengal,2001,0,0,0,0,0,0,0,0,709,4,3,5,594,103,0,709,709,4,3,5,594,103,0,709
Union Territory,A & N Islands,2001,1,0,0,1,0,0,0,1,2,0,0,2,0,0,0,2,3,0,0,3,0,0,0,3
Union Territory,Chandigarh,2001,2,0,0,0,2,0,0,2,16,0,8,4,2,3,0,17,18,0,8,4,4,3,0,19
Union Territory,D & N Haveli,2001,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,6,6,0,0,3,3,0,0,6
Union Territory,Daman & Diu,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2001,9,3,3,2,1,0,0,9,372,45,78,152,58,41,0,374,381,48,81,154,59,41,0,383
Union Territory,Lakshadweep,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2001,0,0,0,0,0,0,0,0,9,3,2,2,1,1,0,9,9,3,2,2,1,1,0,9
City,Agra,2001,2,0,0,1,1,0,0,2,64,5,5,30,19,5,0,64,66,5,5,31,20,5,0,66
City,Ahmedabad,2001,0,0,0,0,0,0,0,0,39,2,5,3,22,7,0,39,39,2,5,3,22,7,0,39
City,Allahabad,2001,1,1,0,0,0,0,0,1,6,0,0,2,4,0,0,6,7,1,0,2,4,0,0,7
City,Amritsar,2001,0,0,0,0,0,0,0,0,7,0,3,2,2,0,0,7,7,0,3,2,2,0,0,7
City,Asansol,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Bangalore,2001,3,2,0,1,0,0,0,3,37,0,4,17,11,5,0,37,40,2,4,18,11,5,0,40
City,Bhopal,2001,8,2,5,1,0,0,0,8,67,3,15,21,23,5,0,67,75,5,20,22,23,5,0,75
City,Chennai,2001,0,0,0,0,0,0,0,0,28,0,0,8,17,3,0,28,28,0,0,8,17,3,0,28
City,Coimbatore,2001,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,4,4,0,2,0,2,0,0,4
City,Delhi (City),2001,7,2,2,2,1,0,0,7,319,32,53,137,58,41,0,321,326,34,55,139,59,41,0,328
City,Dhanbad,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Faridabad,2001,0,0,0,0,0,0,0,0,11,0,3,4,3,1,0,11,11,0,3,4,3,1,0,11
City,Hyderabad,2001,2,0,0,0,2,0,0,2,35,0,0,10,22,3,0,35,37,0,0,10,24,3,0,37
City,Indore,2001,0,0,0,0,0,0,0,0,50,0,3,11,31,5,0,50,50,0,3,11,31,5,0,50
City,Jabalpur,2001,0,0,0,0,0,0,0,0,64,2,5,23,29,5,0,64,64,2,5,23,29,5,0,64
City,Jaipur,2001,0,0,0,0,0,0,0,0,28,1,2,6,14,5,0,28,28,1,2,6,14,5,0,28
City,Jamshedpur,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kanpur,2001,0,0,0,0,0,0,0,0,47,2,5,4,32,4,0,47,47,2,5,4,32,4,0,47
City,Kochi,2001,0,0,0,0,0,0,0,0,10,0,1,1,7,1,0,10,10,0,1,1,7,1,0,10
City,Kolkata,2001,0,0,0,0,0,0,0,0,19,4,3,5,6,1,0,19,19,4,3,5,6,1,0,19
City,Lucknow,2001,0,0,0,0,0,0,0,0,39,0,8,13,12,6,0,39,39,0,8,13,12,6,0,39
City,Ludhiana,2001,0,0,0,0,0,0,0,0,34,3,3,17,11,0,0,34,34,3,3,17,11,0,0,34
City,Madurai,2001,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,1,0,0,2
City,Meerut,2001,2,0,0,2,0,0,0,2,4,1,0,2,1,0,0,4,6,1,0,4,1,0,0,6
City,Mumbai,2001,1,0,0,1,0,0,0,1,126,12,30,42,39,3,0,126,127,12,30,43,39,3,0,127
City,Nagpur,2001,0,0,0,0,0,0,0,0,39,11,2,13,13,0,0,39,39,11,2,13,13,0,0,39
City,Nasik,2001,0,0,0,0,0,0,0,0,9,0,1,4,3,1,0,9,9,0,1,4,3,1,0,9
City,Patna,2001,0,0,0,0,0,0,0,0,17,0,1,10,6,0,0,17,17,0,1,10,6,0,0,17
City,Pune,2001,3,0,1,0,1,1,0,3,53,3,8,25,11,5,1,53,56,3,9,25,12,6,1,56
City,Rajkot,2001,1,0,0,1,0,0,0,1,4,1,0,2,1,0,0,4,5,1,0,3,1,0,0,5
City,Surat,2001,0,0,0,0,0,0,0,0,11,3,1,3,4,0,0,11,11,3,1,3,4,0,0,11
City,Vadodara,2001,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,3,3,0,2,0,1,0,0,3
City,Varanasi,2001,0,0,0,0,0,0,0,0,17,2,2,5,6,2,0,17,17,2,2,5,6,2,0,17
City,Vijayawada,2001,0,0,0,0,0,0,0,0,25,3,10,6,4,2,0,25,25,3,10,6,4,2,0,25
City,Vishakhapatnam,2001,0,0,0,0,0,0,0,0,13,0,0,5,8,0,0,13,13,0,0,5,8,0,0,13
State,Andhra Pradesh,2002,5,0,2,0,3,0,0,5,997,35,65,35,706,148,8,997,1002,35,67,35,709,148,8,1002
State,Arunachal Pradesh,2002,0,0,0,0,0,0,0,0,38,0,0,3,30,5,0,38,38,0,0,3,30,5,0,38
State,Assam,2002,10,0,0,0,5,5,0,10,960,0,0,3,616,341,0,960,970,0,0,3,621,346,0,970
State,Bihar,2002,3,0,0,1,2,0,0,3,1037,0,2,1,803,231,0,1037,1040,0,2,2,805,231,0,1040
State,Chhattisgarh,2002,63,2,13,18,16,11,3,63,929,24,118,7,636,136,8,929,992,26,131,25,652,147,11,992
State,Goa,2002,0,0,0,0,0,0,0,0,12,1,3,3,4,1,0,12,12,1,3,3,4,1,0,12
State,Gujarat,2002,10,2,4,2,2,0,0,10,257,14,12,41,174,17,0,258,267,16,16,43,176,17,0,268
State,Haryana,2002,52,0,6,3,39,4,0,52,309,29,43,3,198,35,1,309,361,29,49,6,237,39,1,361
State,Himachal Pradesh,2002,1,0,1,0,0,0,0,1,136,5,4,16,71,36,4,136,137,5,5,16,71,36,4,137
State,Jammu & Kashmir,2002,3,0,0,0,3,0,0,3,189,0,0,7,137,44,1,189,192,0,0,7,140,44,1,192
State,Jharkhand,2002,18,0,0,4,11,3,0,18,779,0,0,39,665,75,0,779,797,0,0,43,676,78,0,797
State,Karnataka,2002,4,0,1,0,3,0,0,4,288,3,9,6,215,54,1,288,292,3,10,6,218,54,1,292
State,Kerala,2002,4,0,1,0,3,0,0,4,495,25,28,132,262,45,3,495,499,25,29,132,265,45,3,499
State,Madhya Pradesh,2002,72,3,11,16,37,4,1,72,2819,77,174,236,1512,807,13,2819,2891,80,185,252,1549,811,14,2891
State,Maharashtra,2002,21,0,3,5,9,4,0,21,1331,63,127,314,684,136,7,1331,1352,63,130,319,693,140,7,1352
State,Manipur,2002,3,0,0,0,3,0,0,3,11,0,0,0,11,0,0,11,14,0,0,0,14,0,0,14
State,Meghalaya,2002,1,1,0,0,0,0,0,1,37,2,9,22,4,0,0,37,38,3,9,22,4,0,0,38
State,Mizoram,2002,0,0,0,0,0,0,0,0,76,0,1,1,52,13,9,76,76,0,1,1,52,13,9,76
State,Nagaland,2002,0,0,0,0,0,0,0,0,17,2,1,3,11,0,0,17,17,2,1,3,11,0,0,17
State,Orissa,2002,1,0,1,0,0,0,0,1,690,12,8,0,614,56,0,690,691,12,9,0,614,56,0,691
State,Punjab,2002,4,0,0,2,2,0,0,4,295,8,12,30,211,33,1,295,299,8,12,32,213,33,1,299
State,Rajasthan,2002,31,0,3,9,13,5,1,31,1020,5,5,16,775,215,4,1020,1051,5,8,25,788,220,5,1051
State,Sikkim,2002,1,0,1,0,0,0,0,1,5,0,1,2,2,0,0,5,6,0,2,2,2,0,0,6
State,Tamil Nadu,2002,0,0,0,0,0,0,0,0,534,15,8,6,465,39,1,534,534,15,8,6,465,39,1,534
State,Tripura,2002,0,0,0,0,0,0,0,0,108,0,0,0,98,10,0,108,108,0,0,0,98,10,0,108
State,Uttar Pradesh,2002,12,1,1,2,8,0,0,12,1403,37,110,269,767,220,0,1403,1415,38,111,271,775,220,0,1415
State,Uttaranchal,2002,16,2,4,2,6,2,0,16,73,0,0,0,60,13,0,73,89,2,4,2,66,15,0,89
State,West Bengal,2002,0,0,0,0,0,0,0,0,759,5,3,8,552,191,0,759,759,5,3,8,552,191,0,759
Union Territory,A & N Islands,2002,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,1,0,0,2
Union Territory,Chandigarh,2002,2,0,0,1,1,0,0,2,16,1,4,0,8,3,0,16,18,1,4,1,9,3,0,18
Union Territory,D & N Haveli,2002,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,4,4,1,1,1,1,0,0,4
Union Territory,Daman & Diu,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2002,32,4,6,12,10,0,0,32,371,31,48,40,207,49,0,375,403,35,54,52,217,49,0,407
Union Territory,Lakshadweep,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
Union Territory,Puducherry,2002,0,0,0,0,0,0,0,0,6,1,0,3,2,0,0,6,6,1,0,3,2,0,0,6
Union Territory,Total (UTs),2002,34,4,6,13,11,0,0,34,400,34,53,45,219,53,0,404,434,38,59,58,230,53,0,438
City,Agra,2002,3,0,0,0,0,3,0,3,38,0,0,0,30,8,0,38,41,0,0,0,30,11,0,41
City,Ahmedabad,2002,5,2,0,1,2,0,0,5,7,0,1,4,2,0,0,7,12,2,1,5,4,0,0,12
City,Allahabad,2002,1,0,0,0,1,0,0,1,16,0,1,2,13,0,0,16,17,0,1,2,14,0,0,17
City,Amritsar,2002,2,0,0,1,1,0,0,2,2,0,0,1,1,0,0,2,4,0,0,2,2,0,0,4
City,Asansol,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
City,Bangalore,2002,0,0,0,0,0,0,0,0,32,0,3,0,17,12,0,32,32,0,3,0,17,12,0,32
City,Bhopal,2002,6,1,4,1,0,0,0,6,50,2,2,4,36,6,0,50,56,3,6,5,36,6,0,56
City,Chennai,2002,0,0,0,0,0,0,0,0,26,3,0,12,11,0,0,26,26,3,0,12,11,0,0,26
City,Coimbatore,2002,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,1,0,1,0,0,0,2
City,Delhi (City),2002,28,3,5,11,9,0,0,28,292,27,46,39,137,45,0,294,320,30,51,50,146,45,0,322
City,Dhanbad,2002,6,1,2,1,1,1,0,6,34,3,1,3,24,3,0,34,40,4,3,4,25,4,0,40
City,Faridabad,2002,0,0,0,0,0,0,0,0,16,4,0,0,12,0,0,16,16,4,0,0,12,0,0,16
City,Hyderabad,2002,2,0,2,0,0,0,0,2,55,1,6,11,24,13,0,55,57,1,8,11,24,13,0,57
City,Indore,2002,0,0,0,0,0,0,0,0,61,0,4,3,51,3,0,61,61,0,4,3,51,3,0,61
City,Jabalpur,2002,0,0,0,0,0,0,0,0,47,0,0,15,25,7,0,47,47,0,0,15,25,7,0,47
City,Jaipur,2002,5,0,0,0,5,0,0,5,37,0,0,0,34,3,0,37,42,0,0,0,39,3,0,42
City,Jamshedpur,2002,0,0,0,0,0,0,0,0,56,0,2,2,38,14,0,56,56,0,2,2,38,14,0,56
City,Kanpur,2002,2,0,0,0,2,0,0,2,28,2,1,1,19,5,0,28,30,2,1,1,21,5,0,30
City,Kochi,2002,0,0,0,0,0,0,0,0,8,0,0,0,4,5,0,9,8,0,0,0,4,5,0,9
City,Kolkata,2002,0,0,0,0,0,0,0,0,33,5,3,8,12,5,0,33,33,5,3,8,12,5,0,33
City,Lucknow,2002,0,0,0,0,0,0,0,0,22,0,2,3,10,7,0,22,22,0,2,3,10,7,0,22
City,Ludhiana,2002,1,0,0,1,0,0,0,1,36,3,5,12,15,1,0,36,37,3,5,13,15,1,0,37
City,Madurai,2002,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,7
City,Meerut,2002,2,1,0,0,1,0,0,2,10,0,0,0,7,3,0,10,12,1,0,0,8,3,0,12
City,Mumbai,2002,6,0,1,2,3,0,0,6,122,2,3,11,101,5,0,122,128,2,4,13,104,5,0,128
City,Nagpur,2002,0,0,0,0,0,0,0,0,49,4,19,11,12,3,0,49,49,4,19,11,12,3,0,49
City,Nasik,2002,1,0,1,0,0,0,0,1,11,0,2,3,5,1,0,11,12,0,3,3,5,1,0,12
City,Patna,2002,0,0,0,0,0,0,0,0,17,0,0,0,10,7,0,17,17,0,0,0,10,7,0,17
City,Pune,2002,2,0,1,1,0,0,0,2,49,6,7,22,14,0,0,49,51,6,8,23,14,0,0,51
City,Rajkot,2002,2,0,2,0,0,0,0,2,4,0,2,2,0,0,0,4,6,0,4,2,0,0,0,6
City,Surat,2002,1,0,1,0,0,0,0,1,17,3,2,9,3,0,0,17,18,3,3,9,3,0,0,18
City,Vadodara,2002,0,0,0,0,0,0,0,0,5,2,1,0,2,0,0,5,5,2,1,0,2,0,0,5
City,Varanasi,2002,0,0,0,0,0,0,0,0,8,0,2,3,3,0,0,8,8,0,2,3,3,0,0,8
City,Vijayawada,2002,0,0,0,0,0,0,0,0,31,1,2,4,13,11,0,31,31,1,2,4,13,11,0,31
City,Vishakhapatnam,2002,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,8
State,Andhra Pradesh,2005,18,2,4,0,6,6,0,18,917,30,102,177,484,118,6,917,935,32,106,177,490,124,6,935
State,Arunachal Pradesh,2005,0,0,0,0,0,0,0,0,35,3,5,2,25,0,0,35,35,3,5,2,25,0,0,35
State,Assam,2005,7,0,1,0,3,2,1,7,1231,19,33,37,844,284,14,1231,1238,19,34,37,847,286,15,1238
State,Bihar,2005,10,0,0,0,8,2,0,10,1137,0,6,2,864,265,0,1137,1147,0,6,2,872,267,0,1147
State,Chhattisgarh,2005,110,1,10,33,39,27,0,110,880,14,102,222,353,173,16,880,990,15,112,255,392,200,16,990
State,Goa,2005,1,1,0,0,0,0,0,1,19,3,4,7,4,1,0,19,20,4,4,7,4,1,0,20
State,Gujarat,2005,19,2,4,5,8,0,0,19,305,16,24,39,210,16,0,305,324,18,28,44,218,16,0,324
State,Haryana,2005,15,0,0,3,10,2,0,15,446,0,34,94,171,141,6,446,461,0,34,97,181,143,6,461
State,Himachal Pradesh,2005,5,0,1,2,2,0,0,5,136,11,16,28,61,18,2,136,141,11,17,30,63,18,2,141
State,Jammu & Kashmir,2005,0,0,0,0,0,0,0,0,201,1,0,3,153,42,2,201,201,1,0,3,153,42,2,201
State,Jharkhand,2005,120,2,4,8,65,41,0,120,633,4,3,4,319,302,1,633,753,6,7,12,384,343,1,753
State,Karnataka,2005,5,0,0,0,3,2,0,5,338,14,13,21,231,59,0,338,343,14,13,21,234,61,0,343
State,Kerala,2005,12,1,1,4,5,0,1,12,466,29,30,82,231,90,7,469,478,30,31,86,236,90,8,481
State,Madhya Pradesh,2005,141,9,18,43,57,13,1,141,2780,93,276,431,1339,616,25,2780,2921,102,294,474,1396,629,26,2921
State,Maharashtra,2005,38,3,5,13,14,3,0,38,1507,82,127,408,721,171,2,1511,1545,85,132,421,735,174,2,1549
State,Manipur,2005,1,0,0,0,0,1,0,1,24,3,1,0,14,6,0,24,25,3,1,0,14,7,0,25
State,Meghalaya,2005,4,1,0,3,0,0,0,4,59,8,10,29,8,4,0,59,63,9,10,32,8,4,0,63
State,Mizoram,2005,0,0,0,0,0,0,0,0,37,0,0,30,7,0,0,37,37,0,0,30,7,0,0,37
State,Nagaland,2005,0,0,0,0,0,0,0,0,17,3,0,0,12,2,0,17,17,3,0,0,12,2,0,17
State,Orissa,2005,7,0,0,0,6,1,0,7,792,18,0,10,630,131,3,792,799,18,0,10,636,132,3,799
State,Punjab,2005,50,2,1,11,25,11,0,50,348,7,18,12,214,97,0,348,398,9,19,23,239,108,0,398
State,Rajasthan,2005,33,0,5,10,11,7,0,33,960,21,39,171,504,209,16,960,993,21,44,181,515,216,16,993
State,Sikkim,2005,1,0,1,0,0,0,0,1,17,4,4,7,2,2,0,19,18,4,5,7,2,2,0,20
State,Tamil Nadu,2005,11,1,0,0,8,2,0,11,560,28,28,58,388,58,0,560,571,29,28,58,396,60,0,571
State,Tripura,2005,0,0,0,0,0,0,0,0,162,3,13,4,129,13,0,162,162,3,13,4,129,13,0,162
State,Uttar Pradesh,2005,70,0,0,18,52,0,0,70,1147,44,103,229,604,162,5,1147,1217,44,103,247,656,162,5,1217
State,Uttaranchal,2005,3,0,0,0,2,1,0,3,130,3,3,12,93,19,0,130,133,3,3,12,95,20,0,133
State,West Bengal,2005,36,0,0,0,31,5,0,36,1650,3,0,3,1420,223,1,1650,1686,3,0,3,1451,228,1,1686
Union Territory,A & N Islands,2005,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,4,4,0,0,2,2,0,0,4
Union Territory,Chandigarh,2005,1,0,0,1,0,0,0,1,32,7,4,9,5,7,0,32,33,7,4,10,5,7,0,33
Union Territory,D & N Haveli,2005,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5
Union Territory,Daman & Diu,2005,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,2,0,1,0,0,1,0,2
Union Territory,Delhi,2005,32,11,9,10,2,0,0,32,626,49,111,45,402,25,2,634,658,60,120,55,404,25,2,666
Union Territory,Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2005,0,0,0,0,0,0,0,0,6,1,0,2,3,0,0,6,6,1,0,2,3,0,0,6
Union Territory,Total (UTs),2005,33,11,9,11,2,0,0,33,675,57,116,58,417,33,2,683,708,68,125,69,419,33,2,716
City,Agra,2005,0,0,0,0,0,0,0,0,20,0,0,4,12,4,0,20,20,0,0,4,12,4,0,20
City,Ahmedabad,2005,8,2,2,2,2,0,0,8,27,2,4,2,17,2,0,27,35,4,6,4,19,2,0,35
City,Allahabad,2005,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5
City,Amritsar,2005,1,0,0,0,1,0,0,1,3,0,1,1,1,0,0,3,4,0,1,1,2,0,0,4
City,Asansol,2005,0,0,0,0,0,0,0,0,9,0,0,0,6,3,0,9,9,0,0,0,6,3,0,9
City,Bangalore,2005,5,0,0,0,3,2,0,5,33,0,0,0,7,26,0,33,38,0,0,0,10,28,0,38
City,Bhopal,2005,3,1,0,1,1,0,0,3,51,6,4,20,15,6,0,51,54,7,4,21,16,6,0,54
City,Chennai,2005,2,1,0,0,1,0,0,2,41,8,4,14,14,1,0,41,43,9,4,14,15,1,0,43
City,Coimbatore,2005,0,0,0,0,0,0,0,0,6,1,1,3,1,0,0,6,6,1,1,3,1,0,0,6
City,Delhi (city),2005,29,9,9,10,1,0,0,29,533,39,101,32,343,20,2,537,562,48,110,42,344,20,2,566
City,Dhanbad,2005,1,0,0,0,1,0,0,1,23,1,2,5,13,2,0,23,24,1,2,5,14,2,0,24
City,Faridabad,2005,1,0,0,1,0,0,0,1,17,2,2,3,7,3,0,17,18,2,2,4,7,3,0,18
City,Hyderabad,2005,6,2,4,0,0,0,0,6,61,0,0,0,38,20,3,61,67,2,4,0,38,20,3,67
City,Indore,2005,0,0,0,0,0,0,0,0,71,0,2,6,39,24,0,71,71,0,2,6,39,24,0,71
City,Jabalpur,2005,0,0,0,0,0,0,0,0,49,0,0,0,37,12,0,49,49,0,0,0,37,12,0,49
City,Jaipur,2005,2,0,1,1,0,0,0,2,55,2,4,9,24,16,0,55,57,2,5,10,24,16,0,57
City,Jamshedpur,2005,1,0,0,0,1,0,0,1,27,0,0,0,24,3,0,27,28,0,0,0,25,3,0,28
City,Kanpur,2005,1,0,0,1,0,0,0,1,17,0,2,3,10,2,0,17,18,0,2,4,10,2,0,18
City,Kochi,2005,0,0,0,0,0,0,0,0,7,0,1,1,3,2,0,7,7,0,1,1,3,2,0,7
City,Kolkata,2005,0,0,0,0,0,0,0,0,13,3,0,3,6,1,0,13,13,3,0,3,6,1,0,13
City,Lucknow,2005,6,0,0,1,4,1,0,6,22,0,0,2,16,4,0,22,28,0,0,3,20,5,0,28
City,Ludhiana,2005,0,0,0,0,0,0,0,0,39,7,5,16,11,0,0,39,39,7,5,16,11,0,0,39
City,Madurai,2005,0,0,0,0,0,0,0,0,5,1,0,2,1,1,0,5,5,1,0,2,1,1,0,5
City,Meerut,2005,0,0,0,0,0,0,0,0,12,1,2,0,9,0,0,12,12,1,2,0,9,0,0,12
