Category,States/ UTs/Cities,Year,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
City,Jamshedpur,2006,8,0,0,0,5,3,0,8,21,0,0,0,13,8,0,21,29,0,0,0,18,11,0,29
City,Kanpur,2006,0,0,0,0,0,0,0,0,27,0,0,12,10,5,0,27,27,0,0,12,10,5,0,27
City,Kochi,2006,0,0,0,0,0,0,0,0,14,0,0,6,7,1,0,14,14,0,0,6,7,1,0,14
City,Kolkata,2006,0,0,0,0,0,0,0,0,38,2,5,13,12,6,0,38,38,2,5,13,12,6,0,38
City,Lucknow,2006,0,0,0,0,0,0,0,0,29,0,1,5,17,6,0,29,29,0,1,5,17,6,0,29
City,Ludhiana,2006,0,0,0,0,0,0,0,0,36,6,3,5,22,0,0,36,36,6,3,5,22,0,0,36
City,Madurai,2006,0,0,0,0,0,0,0,0,9,1,0,2,4,2,0,9,9,1,0,2,4,2,0,9
City,Meerut,2006,0,0,0,0,0,0,0,0,13,0,0,2,9,2,0,13,13,0,0,2,9,2,0,13
City,Mumbai,2006,5,0,4,0,0,1,0,5,160,2,7,48,92,11,0,160,165,2,11,48,92,12,0,165
City,Nagpur,2006,1,0,1,0,0,0,0,1,50,6,7,23,9,4,1,50,51,6,8,23,9,4,1,51
City,Nasik,2006,0,0,0,0,0,0,0,0,14,3,3,2,7,0,0,15,14,3,3,2,7,0,0,15
City,Patna,2006,0,0,0,0,0,0,0,0,25,1,8,3,13,0,0,25,25,1,8,3,13,0,0,25
City,Pune,2006,1,0,1,0,0,0,0,1,76,2,11,31,27,5,0,76,77,2,12,31,27,5,0,77
City,Rajkot,2006,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,4,4,0,0,3,1,0,0,4
City,Surat,2006,0,0,0,0,0,0,0,0,31,2,4,6,18,1,0,31,31,2,4,6,18,1,0,31
City,Vadodara,2006,0,0,0,0,0,0,0,0,6,1,0,2,3,0,0,6,6,1,0,2,3,0,0,6
City,Varanasi,2006,0,0,0,0,0,0,0,0,5,0,0,2,3,0,0,5,5,0,0,2,3,0,0,5
City,Vijayawada,2006,0,0,0,0,0,0,0,0,21,1,4,9,5,1,1,21,21,1,4,9,5,1,1,21
City,Vishakhapatnam,2006,0,0,0,0,0,0,0,0,21,1,3,9,8,0,0,21,21,1,3,9,8,0,0,21
State,Andhra Pradesh,2008,13,2,2,1,5,1,2,13,1244,47,124,236,655,173,9,1244,1257,49,126,237,660,174,11,1257
State,Arunachal Pradesh,2008,0,0,0,0,0,0,0,0,42,4,7,0,31,0,0,42,42,4,7,0,31,0,0,42
State,Assam,2008,7,0,0,0,5,2,0,7,1431,2,5,20,844,539,21,1431,1438,2,5,20,849,541,21,1438
State,Bihar,2008,3,0,0,0,1,2,0,3,1299,0,11,80,1027,157,24,1299,1302,0,11,80,1028,159,24,1302
State,Chhattisgarh,2008,31,0,3,15,12,1,0,31,947,24,77,292,376,175,3,947,978,24,80,307,388,176,3,978
State,Goa,2008,0,0,0,0,0,0,0,0,30,1,6,11,7,3,2,30,30,1,6,11,7,3,2,30
State,Gujarat,2008,4,0,1,2,1,0,0,4,370,15,26,55,216,57,1,370,374,15,27,57,217,57,1,374
State,Haryana,2008,8,0,1,2,4,0,1,8,623,10,21,36,491,61,4,623,631,10,22,38,495,61,5,631
State,Himachal Pradesh,2008,1,0,1,0,0,0,0,1,156,8,15,44,68,20,1,156,157,8,16,44,68,20,1,157
State,Jammu & Kashmir,2008,0,0,0,0,0,0,0,0,219,2,0,3,155,59,0,219,219,2,0,3,155,59,0,219
State,Jharkhand,2008,12,0,0,0,7,5,0,12,779,1,2,5,655,114,2,779,791,1,2,5,662,119,2,791
State,Karnataka,2008,0,0,0,0,0,0,0,0,446,21,24,52,301,47,1,446,446,21,24,52,301,47,1,446
State,Kerala,2008,17,0,6,6,4,1,0,17,551,27,45,133,270,72,6,553,568,27,51,139,274,73,6,570
State,Madhya Pradesh,2008,52,3,9,20,15,5,0,52,2885,66,218,576,1533,472,20,2885,2937,69,227,596,1548,477,20,2937
State,Maharashtra,2008,35,4,5,8,11,6,1,35,1523,114,130,433,696,155,4,1532,1558,118,135,441,707,161,5,1567
State,Manipur,2008,0,0,0,0,0,0,0,0,38,9,8,8,12,1,0,38,38,9,8,8,12,1,0,38
State,Meghalaya,2008,5,1,3,0,1,0,0,5,83,5,14,14,46,4,0,83,88,6,17,14,47,4,0,88
State,Mizoram,2008,3,0,1,1,1,0,0,3,74,9,3,4,48,10,0,74,77,9,4,5,49,10,0,77
State,Nagaland,2008,1,0,0,0,1,0,0,1,18,0,0,0,18,0,0,18,19,0,0,0,19,0,0,19
State,Orissa,2008,17,2,0,1,13,1,0,17,1096,15,27,23,632,387,12,1096,1113,17,27,24,645,388,12,1113
State,Punjab,2008,2,0,0,0,1,1,0,2,515,27,36,45,358,46,5,517,517,27,36,45,359,47,5,519
State,Rajasthan,2008,40,2,6,7,21,4,0,40,1315,27,110,268,685,215,10,1315,1355,29,116,275,706,219,10,1355
State,Sikkim,2008,1,1,0,0,0,0,0,1,19,8,3,1,8,0,0,20,20,9,3,1,8,0,0,21
State,Tamil Nadu,2008,1,1,0,0,0,0,0,1,572,26,29,131,340,46,0,572,573,27,29,131,340,46,0,573
State,Tripura,2008,0,0,0,0,0,0,0,0,204,16,23,65,96,4,0,204,204,16,23,65,96,4,0,204
State,Uttar Pradesh,2008,1,0,0,0,0,1,0,1,1870,44,171,685,785,185,0,1870,1871,44,171,685,785,186,0,1871
State,Uttarakhand,2008,6,0,2,1,2,1,0,6,81,0,2,4,62,13,0,81,87,0,4,5,64,14,0,87
State,West Bengal,2008,9,5,2,1,1,0,0,9,2254,17,51,53,1628,504,1,2254,2263,22,53,54,1629,504,1,2263
Union Territory,A & N Islands,2008,0,0,0,0,0,0,0,0,12,0,1,7,3,1,0,12,12,0,1,7,3,1,0,12
Union Territory,Chandigarh,2008,3,0,0,2,1,0,0,3,17,2,3,5,6,1,0,17,20,2,3,7,7,1,0,20
Union Territory,D & N Haveli,2008,0,0,0,0,0,0,0,0,6,0,1,2,3,0,0,6,6,0,1,2,3,0,0,6
