States/UTs,State/UT-Wise Total Number of Road Accidents during 2016,State/UT-Wise Total Number of Road Accidents during 2017,State/UT-Wise Total Number of Road Accidents during 2018,State/UT-Wise Total Number of Road Accidents during 2019 - Numbers,State/UT-Wise Total Number of Road Accidents during 2019 - Rank,Share of States/UTs in Total Number of Road Accidents - 2016,Share of States/UTs in Total Number of Road Accidents - 2017,Share of States/UTs in Total Number of Road Accidents - 2018,Share of States/UTs in Total Number of Road Accidents - 2019,Total Number of Accidents Per Lakh Population - 2016,Total Number of Accidents Per Lakh Population - 2017,Total Number of Accidents Per Lakh Population - 2018,Total Number of Accidents Per Lakh Population - 2019,"Total Number of  Road Accidents per 10,000 Vehicles - 2016","Total Number of  Road Accidents per 10,000 Vehicles - 2017","Total Number of  Road Accidents per 10,000 Vehicles - 2018","Total Number of  Road Accidents per 10,000 Vehicles - 2019","Total Number of  Road Accidents per 10,000 Km of Roads - 2016","Total Number of  Road Accidents per 10,000 Km of Roads - 2017","Total Number of  Road Accidents per 10,000 Km of Roads - 2018(P)"
Andhra Pradesh,24888,25727,24475,21992,8,5.177966595,5.533759222,5.240405615,4.897973728,28.16627245,28.89537822,27.2881337,24.34628584,28.51656786,26.7255466,22.670402,18.33766009,1427.335496,1457.837875,1121.728769
Arunachal Pradesh,249,241,277,237,30,0.051804632,0.05183799,0.059309187,0.052783729,18.96420411,18.16126601,20.6562267,17.50369276,9.404992578,13.39864012,13.19845812,10.29736353,81.12782138,65.09047076,54.7918109
Assam,7435,7170,8248,8350,16,1.546857186,1.542233981,1.766000634,1.859679912,22.91287867,21.85309357,24.86884158,24.91347416,26.38967271,23.67379687,23.9628332,21.21164471,225.6312212,212.2699372,240.0402783
Bihar,8222,8855,9600,10007,15,1.710593111,1.904669721,2.055480854,2.228720585,7.912768988,8.428196147,9.040229019,9.326796716,14.99727579,14.17719363,13.03635432,11.69973798,398.1907167,422.5746548,330.3839681
Chhattisgarh,13580,13563,13864,13899,11,2.825328928,2.91733884,2.968456933,3.095531868,52.47497971,51.79485221,52.34068257,51.89679636,28.23019542,25.87355438,23.93083258,21.80144327,1417.399085,1386.178169,1351.556864
Goa,4304,3917,3709,3440,21,0.895450347,0.842528661,0.794143592,0.766143581,217.7035913,193.6233317,179.3520309,162.4940954,37.15979662,31.62329128,27.98311808,24.53548409,2679.436322,2351.275718,1993.335841
Gujarat,21859,19081,18769,17046,10,4.547780931,4.104235228,4.018679182,3.796419615,34.79347394,30.03368381,29.22518763,26.26866592,10.73556418,8.658800731,7.879243096,6.763994487,1220.192327,1054.626502,930.3466804
Haryana,11234,11258,11238,10944,13,2.337241913,2.421543955,2.406197275,2.437405624,40.88510391,40.39758863,39.77630694,38.22430233,13.01292396,12.01448355,14.5325192,12.72607268,2317.142419,1383.286294,2246.656404
Himachal Pradesh,3168,3114,3110,2873,22,0.659104716,0.669807059,0.665890152,0.63986352,44.65116279,43.54635715,43.15847905,39.57845433,26.95000468,22.96778609,20.8046656,17.57372493,568.1620496,495.7640354,502.4313802
Jammu and Kashmir,5501,5624,5978,5796,18,1.144487072,1.2096965,1.279965057,1.290862847,44.29503181,44.8306098,47.20094749,45.35211268,40.2840756,37.22420235,35.70728864,31.26822429,1106.474819,887.2672107,550.0703921
Jharkhand,4932,5198,5394,5217,20,1.026106206,1.118065862,1.154923305,1.161910192,14.65588969,15.25727201,15.6424905,14.95399432,19.91103819,15.35440828,13.41884843,11.39659518,738.4829784,743.9474763,682.2493739
Karnataka,44403,42542,41707,40658,5,9.238076613,9.150588286,8.929993748,9.055193518,71.18831564,67.62143947,65.74761567,63.59171672,27.25487386,23.80456509,21.51869338,19.29612567,1285.123429,1178.313698,1176.485522
Kerala,39420,38470,40181,41111,4,8.20135982,8.274719838,8.603257937,9.156083937,110.491353,107.239428,111.4219955,113.437819,38.75415327,34.03513661,32.55808979,30.82943332,1963.070413,1599.168808,1562.946107
Madhya Pradesh,53972,53399,51397,50669,2,11.22891406,11.48587899,11.00474473,11.28480497,69.305939,67.62448711,64.21253842,62.47641829,48.44430606,40.45724513,38.94044885,38.38888657,1861.4913,1558.394077,1412.114119
Maharashtra,39878,35853,35717,32925,6,8.296647054,7.71181519,7.64745934,7.332929475,33.21063327,29.50645631,29.05569204,26.48279523,14.30864433,11.86513165,10.87165157,9.302905923,650.0955414,574.5927472,570.084642
Manipur,538,578,601,672,25,0.111931293,0.124325138,0.128681666,0.149665258,20.75617284,22.06949217,22.71352986,25.14029181,17.57945883,16.98945654,19.5182468,18.56507445,217.1481665,209.3296562,205.9629883
Meghalaya,620,675,399,482,27,0.128991453,0.145189391,0.085430923,0.107349188,22.35845655,24.08134142,14.08898305,16.85314685,11.10178005,11.57592003,11.99545435,13.17645515,285.3612005,294.2636249,91.02107857
Mizoram,83,68,53,62,35,0.017268211,0.014626487,0.011347967,0.013808402,7.80809031,6.331471136,4.884792627,5.656934307,4.845555225,3.635858116,2.549560081,2.65448458,102.3682841,61.75040794,39.62913115
Nagaland,75,531,430,358,28,0.015603805,0.114215655,0.092068413,0.079732384,3.151260504,22.07900208,17.69547325,14.58842706,1.971795438,12.94559923,9.572530844,7.310777475,20.76762112,146.5292438,117.1566357
Odisha,10532,10855,11262,11064,12,2.1911903,2.334860511,2.411335977,2.464131563,24.79342734,25.35740983,26.11054438,25.46375144,18.05478389,16.55320364,15.16986899,13.36090368,365.5893248,357.4614841,365.677845
Punjab,6952,6273,6428,6348,17,1.446368683,1.349293412,1.376315722,1.413802166,23.88018686,21.35707477,21.6978903,21.25351547,7.669500145,6.37313016,6.639826398,6.011685284,641.4555209,449.7017516,450.6607775
Rajasthan,23066,22112,21743,23480,7,4.798898163,4.75618937,4.655450022,5.22937537,31.61978396,29.91180131,29.03557502,30.96481511,16.92037448,14.83970873,13.35564618,13.25808448,907.1149454,832.5326538,693.8000574
Sikkim,210,196,180,162,32,0.043690654,0.042158697,0.038540266,0.036080017,32.45749614,30.01531394,27.27272727,24.28785607,42.85277013,36.22518759,29.342723,22.57210534,254.7640885,172.1385047,133.234641
Tamil Nadu,71431,65562,63920,57228,1,14.86127177,14.10208427,13.68607669,12.74560024,102.9324457,94.02265883,91.25301583,81.35448652,29.51285913,25.11091401,22.79405634,18.96525681,2736.456321,2507.764039,2367.346032
Telangana,22811,22484,22230,21570,9,4.745845227,4.836204857,4.759722853,4.80398751,NA,NA,NA,NA,26.19187619,22.83933204,20.27322433,17.78489137,1845.965818,1782.531647,1735.755948
Tripura,557,503,552,655,26,0.115884257,0.108192984,0.118190149,0.145879083,14.55828542,13.00749935,14.13210445,16.59908768,17.43447205,13.14390089,12.68586399,13.20940025,141.4960373,117.1798741,127.7334259
Uttarakhand,1591,1603,1468,1352,24,0.331008713,0.344797918,0.314317281,0.301112244,14.96425884,14.89638509,13.48397171,12.27974569,8.425924945,7.50000117,5.918304817,4.91156816,260.7407233,229.7314024,277.7777778
