Rank,US City,US State,Population 2024,Population 2020,Annual Change,Density (/mile2),Area (mile2)
262,League City,Texas,116874,114657,0.0048,2275,51.36
263,Menifee,California,116834,103228,0.03,2515,46.46
264,Richardson,Texas,116813,119299,-0.0053,4090,28.56
265,Clearwater,Florida,116689,117333,-0.0014,4458,26.18
266,Goodyear,Arizona,116460,97838,0.0416,609,191.31
267,Odessa,Texas,116015,114926,0.0024,2236,51.89
268,Las Cruces,New Mexico,115956,111698,0.0093,1507,76.93
269,Manchester,New Hampshire,115462,115508,-0.0001,3492,33.07
270,Waterbury,Connecticut,115360,113880,0.0032,4040,28.56
271,Evansville,Indiana,114651,117373,-0.0059,2421,47.35
272,Westminster,Colorado,114302,116594,-0.005,3615,31.62
273,West Jordan,Utah,114200,117032,-0.0062,3505,32.59
274,Pompano Beach,Florida,114173,111957,0.0049,4744,24.07
275,Brandon,Florida,114109,115909,-0.0036,3444,33.13
276,Buckeye,Arizona,113958,93761,0.0464,289,394.83
277,East Los Angeles,California,113940,120504,-0.0142,15288,7.45
278,Conroe,Texas,113912,91255,0.0523,1503,75.8
279,Lowell,Massachusetts,113907,115462,-0.0034,8369,13.61
280,Greeley,Colorado,113721,109272,0.0099,2300,49.43
281,Tuscaloosa,Alabama,113711,104217,0.0213,1830,62.15
282,Allen,Texas,113644,105548,0.0181,4304,26.4
283,Richmond,California,113409,116196,-0.0061,3775,30.04
284,Carlsbad,California,113018,114924,-0.0042,2989,37.81
285,Elgin,Illinois,112874,114617,-0.0039,2959,38.14
286,Provo,Utah,112756,115103,-0.0052,2704,41.7
287,Rio Rancho,New Mexico,112735,104433,0.0188,1091,103.36
288,Murrieta,California,112122,111146,0.0022,3343,33.54
289,Lansing,Michigan,111964,112566,-0.0014,2857,39.19
290,Springfield,Illinois,111959,114298,-0.0052,1828,61.26
291,Concord,North Carolina,111863,104885,0.0158,1747,64.03
292,South Fulton,Georgia,111823,108211,0.0081,1203,92.95
293,Tyler,Texas,111678,106272,0.0123,1932,57.79
294,Beaumont,Texas,111305,114857,-0.0079,1355,82.14
295,Everett,Washington,111275,110893,0.0008,3312,33.6
296,Temecula,California,110878,110094,0.0018,2982,37.18
297,Pueblo,Colorado,110803,111899,-0.0025,1961,56.49
298,Sparks,Nevada,110801,108889,0.0043,3036,36.49
299,Miami Gardens,Florida,110463,111477,-0.0023,5979,18.48
300,Santa Maria,California,110055,109782,0.0006,4825,22.81
