Player,Team ,Goals
Harry Kane,England,3
Ivan Schranz,Slovakia,3
Georges Mikautadze,Georgia,3
Dani Olmo,Spain,3
Jamal Musiala,Germany,3
Cody Gakpo,Netherlands,3
Merih Demiral,Turkiye,2
Kai Havertz,Germany,2
Niclas Fullkrug,Germany,2
Razvan Marin,Romania,2
Breel Embolo,Switzerland,2
Nico Williams,Spain,2
Florian Wirtz,Germany,2
Donyell Malen,Netherlands,2
Jude Bellingham,England,2
Fabian Ruiz,Spain,2
