Date,Open,High,Low,Close,Adj Close,Volume
2022-10-26,290.040009,305.630005,288.040009,298.619995,298.619995,15714100
2022-10-27,298.329987,305.209991,294.779999,296.940002,296.940002,14612600
2022-10-28,297.700012,301.190002,292.290009,295.720001,295.720001,9960500
2022-10-31,295.130005,297.619995,289.500000,291.880005,291.880005,7505100
2022-11-01,296.170013,299.700012,286.420013,286.750000,286.750000,6916400
2022-11-02,286.399994,287.329987,272.839996,273.000000,273.000000,10367600
2022-11-03,271.250000,276.290009,268.799988,269.059998,269.059998,7057400
2022-11-04,272.019989,274.970001,255.320007,260.790009,260.790009,11124700
2022-11-07,261.059998,261.149994,252.089996,258.600006,258.600006,7927000
2022-11-08,259.920013,266.079987,256.880005,263.459991,263.459991,7683800
2022-11-09,259.660004,260.899994,254.220001,254.660004,254.660004,7266000
2022-11-10,265.989990,275.359985,260.089996,274.970001,274.970001,9667300
2022-11-11,274.470001,290.660004,271.559998,290.130005,290.130005,9573800
2022-11-14,290.000000,311.000000,288.190002,299.269989,299.269989,17978200
2022-11-15,309.200012,312.709991,302.549988,310.200012,310.200012,14626900
2022-11-16,309.940002,310.489990,303.609985,306.019989,306.019989,8038600
2022-11-17,294.720001,299.820007,291.000000,295.279999,295.279999,9838200
2022-11-18,297.329987,298.000000,287.000000,287.980011,287.980011,8400100
2022-11-21,291.000000,291.869995,282.660004,285.049988,285.049988,7256500
2022-11-22,284.989990,286.980011,277.339996,286.690002,286.690002,6245100
2022-11-23,285.910004,292.470001,283.760010,291.500000,291.500000,5919000
2022-11-25,289.000000,289.209991,284.170013,285.540009,285.540009,3236000
2022-11-28,284.000000,289.549988,280.529999,281.170013,281.170013,4703400
2022-11-29,282.500000,282.959991,275.940002,280.959991,280.959991,5786900
2022-11-30,281.369995,308.260010,280.410004,305.529999,305.529999,16070100
2022-12-01,303.989990,319.799988,303.029999,316.950012,316.950012,14664900
2022-12-02,310.489990,321.989990,310.000000,320.410004,320.410004,12690600
2022-12-05,316.459991,322.769989,310.920013,312.589996,312.589996,8423000
2022-12-06,311.000000,313.220001,303.130005,305.559998,305.559998,7195400
2022-12-07,306.500000,309.609985,302.100006,308.420013,308.420013,7821600
2022-12-08,309.109985,312.380005,304.809998,310.260010,310.260010,7205300
2022-12-09,321.450012,329.000000,319.519989,320.010010,320.010010,14364000
2022-12-12,320.000000,323.179993,308.850006,315.179993,315.179993,10148600
2022-12-13,328.000000,332.720001,317.200012,320.339996,320.339996,10756400
2022-12-14,318.970001,324.709991,314.420013,317.829987,317.829987,7543300
2022-12-15,302.119995,303.390015,286.549988,290.410004,290.410004,17724600
2022-12-16,288.760010,294.720001,288.700012,290.709991,290.709991,14080000
2022-12-19,289.730011,292.250000,286.130005,288.299988,288.299988,6163700
