Titile,Year,Total_episodes,Age,Rating,Vote_count,Category
85. Bleach: Thousand-Year Blood War,2022ñ,27 eps,16,9,(37K),TV Series
86. Peaky Blinders,2013ñ2022,36 eps,18,8.8,(658K),TV Series
87. Six Feet Under,2001ñ2005,63 eps,18,8.7,(151K),TV Series
88. Rome,2005ñ2007,22 eps,18,8.7,(187K),TV Series
89. Oz,1997ñ2003,56 eps,15,8.7,(107K),TV Series
90. Steins;Gate,2011ñ2015,26 eps,12,8.8,(74K),TV Series
91. The Last of Us,2023ñ,16 eps,15,8.7,(540K),TV Series
92. Dark,2017ñ2020,26 eps,15,8.7,(450K),TV Series
93. Fleabag,2016ñ2019,12 eps,15,8.7,(205K),TV Series
94. The Boys,2019ñ,33 eps,18,8.7,(670K),TV Series
95. Blue Eye Samurai,2023,9 eps,18,8.7,(71K),TV Series
96. The Shield,2002ñ2008,89 eps,15,8.7,(89K),TV Series
97. Berserk,1997ñ1998,25 eps,18,8.7,(55K),TV Series
98. Battlestar Galactica,2004ñ2009,74 eps,12,8.7,(177K),TV Series
99. Downton Abbey,2010ñ2015,52 eps,12,8.7,(226K),TV Series
100. The Simpsons,1989ñ,768 eps,PG,8.7,(438K),TV Series
101. Severance,2022ñ,19 eps,15,8.7,(207K),TV Series
102. Sh≈çgun,2024ñ2026,12 eps,TV-MA,8.7,(143K),TV Series
103. House M.D.,2004ñ2012,176 eps,15,8.7,(520K),TV Series
104. Mad Men,2007ñ2015,92 eps,15,8.7,(262K),TV Series
105. Arrested Development,2003ñ2019,84 eps,PG,8.7,(326K),TV Series
106. Peep Show,2003ñ2015,54 eps,18,8.7,(67K),TV Series
107. One Punch Man: Wanpanman,2015ñ,25 eps,15,8.7,(188K),TV Series
108. Star Trek: The Next Generation,1987ñ1994,176 eps,PG,8.7,(137K),TV Series
109. Invincible,2021ñ,18 eps,18,8.7,(210K),TV Series
110. Mahabharat,1988ñ1990,94 eps,TV-14,8.9,(23K),TV Series
111. The Grand Tour,2016ñ2024,46 eps,PG,8.7,(84K),TV Series
112. The Adventures of Sherlock Holmes,1984ñ1985,13 eps,15,8.7,(24K),TV Series
113. Stranger Things,2016ñ2025,42 eps,15,8.7,(1.4M),TV Series
114. Justice League Unlimited,2004ñ2006,39 eps,PG,8.7,(21K),TV Series
115. The Marvelous Mrs. Maisel,2017ñ2023,43 eps,15,8.7,(144K),TV Series
116. Friday Night Lights,2006ñ2011,76 eps,12,8.7,(73K),TV Series
117. Naruto: Shippuden,2007ñ2017,501 eps,PG,8.7,(173K),TV Series
118. Behzat √á: An Ankara Detective Story,2010ñ2019,105 eps,TV-14,8.9,(33K),TV Series
119. Line of Duty,2012ñ2021,36 eps,15,8.7,(71K),TV Series
120. 1883,2021ñ2022,10 eps,15,8.7,(118K),TV Mini Series
121. Top Gear,2002ñ2022,328 eps,PG,8.7,(128K),TV Series
122. Monster,2004ñ2005,75 eps,15,8.7,(46K),TV Series
123. Sarabhai V/S Sarabhai,2004ñ2017,79 eps,TV-PG,8.9,(18K),TV Series
124. The Mandalorian,2019ñ,25 eps,12,8.6,(593K),TV Series
125. The Thick of It,2005ñ2012,24 eps,18,8.7,(26K),TV Series
126. How to with John Wilson,2020ñ2023,18 eps,15,8.7,(14K),TV Series
127. Aspirants,2021ñ,10 eps,,9.2,(312K),TV Series
128. This Is Us,2016ñ2022,106 eps,PG,8.7,(160K),TV Series
129. Father Ted,1995ñ1998,25 eps,PG,8.7,(44K),TV Series
130. House of Cards,2013ñ2018,73 eps,18,8.6,(533K),TV Series
131. Atlanta,2016ñ2022,41 eps,15,8.6,(89K),TV Series
132. Parks and Recreation,2009ñ2015,124 eps,15,8.6,(290K),TV Series
133. Code Geass: Lelouch of the Rebellion,2006ñ2008,54 eps,15,8.7,(81K),TV Series
134. The Crown,2016ñ2023,60 eps,PG,8.6,(259K),TV Series
135. Deadwood,2004ñ2006,36 eps,18,8.6,(118K),TV Series
136. The X Files,1993ñ2018,217 eps,PG,8.6,(251K),TV Series
137. Dexter,2006ñ2013,96 eps,18,8.6,(775K),TV Series
138. Primal,2019ñ,21 eps,15,8.7,(21K),TV Series
139. Adventure Time,2010ñ2018,289 eps,TV-PG,8.6,(114K),TV Series
140. It's a Sin,2021,5 eps,15,8.6,(37K),TV Mini Series
141. Ramayan,1987ñ1988,78 eps,TV-14,9,(24K),TV Series
142. The Bridge,2011ñ2018,38 eps,15,8.6,(77K),TV Series
143. Daredevil,2015ñ2018,39 eps,18,8.6,(477K),TV Series
144. Blackadder II,1986,6 eps,PG,8.6,(50K),TV Series
145. Lonesome Dove,1989,4 eps,TV-14,8.7,(26K),TV Mini Series
146. The Jinx: The Life and Deaths of Robert Durst,2015ñ2024,12 eps,15,8.6,(53K),TV Series
147. Mindhunter,2017ñ2019,19 eps,18,8.6,(340K),TV Series
148. Haikyuu!!,2014ñ2020,89 eps,PG,8.7,(36K),TV Series
