,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
38,The Bourne Legacy,4.7,17021,Prime Video,2012,PG-13,Tony Gilroy,"Jeremy Renner,Rachel Weisz,Edward Norton,Joan Allen",3.79
39,The Spy Who Dumped Me,4.4,6941,Prime Video,2018,R,Susanna Fogel,"Mila Kunis,Kate McKinnon,Justin Theroux",
40,Old,4.0,44068,Prime Video,2021,PG-13,M. Night Shyamalan,"Gael Garcia Bernal,Vicky Krieps,Alex Wolff",
41,John Wick: Chapter 4,4.6,41478,Prime Video,2023,R,Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård",5.99
42,Sicario,4.7,54268,Prime Video,2015,R,Denis Villeneuve,"Emily Blunt,Benicio Del Toro",
43,The Addams Family,4.6,43712,Prime Video,2019,PG,Conrad Vernon,"Oscar Isaac,Charlize Theron,Chloë Grace Moretz",
44,The Super Mario Bros. Movie - Bonus X-Ray Edition,4.8,43543,Prime Video,2023,PG,"Aaron Horvath,Michael Jelenic","Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",5.99
45,My Fault,4.7,927,Prime Video,2023,,Domingo González,"Nicole Wallace,Gabriel Guevara,Marta Hazas",
46,Sonic the Hedgehog 2,4.7,26592,Prime Video,2022,PG,Jeff Fowler,"James Marsden,Tika Sumpter,Natasha Rothwell",3.89
47,Jonah Hex,4.4,4307,Prime Video,2010,PG-13,Jimmy Hayward,"Josh Brolin,John Malkovich,Megan Fox",2.99
48,Parker,4.5,5516,Prime Video,2013,R,Taylor Hackford,"Jason Statham,Jennifer Lopez,Michael Chiklis",
49,The Twilight Saga: New Moon,4.7,17894,Prime Video,2009,PG-13,Chris Weitz,"Dakota Fanning,Graham Greene,Elizabeth Reaser",3.99
50,Wonder Woman 1984,4.1,28644,Prime Video,2020,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",3.99
51,Angel Eyes,4.7,1380,Prime Video,2001,R,Luis Mandoki,"Jennifer Lopez,Jim Caviezel,Terrence Howard",3.59
52,Creed III,4.6,15089,Prime Video,2023,PG-13,Michael B. Jordan,"Michael B. Jordan,Tessa Thompson",5.99
53,M3GAN,4.3,1354,Prime Video,2023,PG-13,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
54,Justice League,4.5,39645,Prime Video,2017,PG-13,Zack Snyder,"Ben Affleck,Amy Adams,Gal Gadot,Ray Fisher",3.79
55,"Red, White & Royal Blue",4.7,3395,Prime Video,2023,R,Matthew López,"Nicholas Galitzine,Taylor Zakhar Perez,Uma Thurman",
56,Saw,4.4,4792,Prime Video,2004,R,James Wan,"Cary Elwes,Danny Glover,Monica Potter,Michael Emerson",3.79
57,Smile,4.1,7864,Prime Video,2022,R,Parker Finn,"Sosie Bacon,Kyle Gallner,Jessie T. Usher",3.89
58,Love & Murder: Atlanta Playboy Part One,4.2,8,Prime Video,2023,,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",
59,Tales of Halloween,4.0,1307,Prime Video,2015,,"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch","Lin Shaye,Pat Healy,Barry Bostwick,Joe Dante",
60,The Addams Family 2,4.6,1696,Prime Video,2021,PG,"Greg Tiernan,Conrad Vernon,Laura Brousseau","Oscar Isaac,Charlize Theron,Chloë Grace Moretz",3.09
61,The Bourne Supremacy,4.8,9687,Prime Video,2004,PG-13,Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles",3.99
62,Knock at the Cabin,4.0,7976,Prime Video,2023,R,M. Night Shyamalan,"Dave Bautista,Jonathan Groff,Ben Aldridge",5.99
63,The Blackening,4.3,2125,Prime Video,2023,R,Tim Story,"Sinqua Walls,Jay Pharoah,James Preston Rogers",5.99
