id,viewCount,likeCount,favoriteCount,commentCount
VUN6ND8G3mE,13084,295,0,38
MoxGrPGlkXg,48072,2223,0,66
cW7NlCK_0KQ,50250,1394,0,141
DwgV-MIOQtA,9408,235,0,26
Nf23jjtyU8M,3753,86,0,16
zWXD8jkliuY,8045,234,0,15
K8S-kY-69aA,2984,59,0,19
iN362AXe6IU,28377,1346,0,30
i3rHHXsUq9g,161906,4493,0,229
xvdKoUKFXc8,8974,436,0,15
ZTOvyoNx4wI,5197437,58322,0,5430
kN6HHzEXKFU,43192467,1104880,0,27774
QRL_nHcHaZ4,135412,4571,0,42
MjY14bP1ihE,126133,5026,0,313
8_UgHNe8XIk,20842,370,0,124
wX3su19lIbA,48056,2614,0,34
Wv94NWD9bo0,69295,1652,0,110
W6fUcm2SfU4,11812,251,0,28
MPzWdgcLYuU,637002,20166,0,1222
CDS6OfAUpvg,9012,410,0,75
JzD2GQuOp9U,91941,3538,0,23
81q-l3OmVfY,15585135,80861,0,5378
f0EWM4v6lEE,24939,628,0,117
twMiRGyhCUk,15987,809,0,31
ZzgPLpN0G3E,908914,20954,0,406
cI-EqjxZxWs,7104,487,0,6
3JeVcEWJmuE,4161,297,0,6
xuwpW5qMnws,3966,308,0,25
m2apYYcH1NQ,6316,366,0,16
53Gcq9_A2SY,70040,2094,0,188
xXhnILs6vm8,0,1,0,0
8QStqWGx9DA,1891959,23801,0,2156
DzX5zvV5Trw,49250,1193,0,200
upIrpn75Jng,8635,176,0,21
lV-6dwd_vhg,6635,102,0,19
9-yppeVFTpM,15425,317,0,23
_ZoWwrYQ_mQ,6536,146,0,25
_qgetp23jAQ,4228,83,0,16
ByGdHEgmbq8,26709,637,0,79
dQEDlYdaJLg,18137,628,0,151
t_BUJJeGF3s,147048,4793,0,319
nbKMbIqG-78,36590,731,0,63
vcQ-W2sNHK8,108422,3548,0,239
6a7jLpa-3k0,53227,1288,0,75
SuVpkJ9Vt2U,1515549,26129,0,2336
sFpw4SYm6z4,10392680,92328,0,11098
XylSLkLPxlA,58602,1970,0,184
--qtoc6e2qg,75498,654,0,24
