stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Fouls committed,Home Corners,Home Total shots.,Home Shots off target,Home Shots on target.,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home Expected goals (xG),Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Accurate passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate crosses,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Aerial duels won,Home Successful dribbles,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Shots on target.,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away Expected goals (xG),Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Accurate passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate crosses,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Aerial duels won,Away Successful dribbles
Fuball Arena Mnchen,"65,052",Germany,Scotland,5,1,2.15,20,10,1,0,643(94%),15,5,20,5,10,5,0,10,10,2.15,1.09,0.27,1.36,3.33,683,643(94%),227,416,19(68%),5(24%),12,31,4,2,0,9(90%),2,0,16,0,34,25(42%),9(56%),6(38%),0.02,1,0,0,0,189(75%),9,0,1,1,0,0,0,1,0,0.02,0.00,0.02,0.02,0.00,251,189(75%),139,50,18(38%),1(13%),14,2,0,1,1,8(53%),6,5,22,5,41,34(58%),7(44%),5(56%)
Cologne Stadium,"41,676",Hungary,Switzerland,1,3,1.25,6,2,3,2,643(94%),9,2,6,3,2,1,0,5,1,1.25,0.91,0.34,1.25,0.98,438,643(94%),222,143,37(66%),5(25%),20,10,3,2,0,11(69%),5,5,23,4,48,32(55%),16(52%),4(50%),2.33,15,7,3,1,189(75%),13,6,15,3,7,5,0,11,4,2.33,2.11,0.21,2.33,2.41,452,189(75%),180,200,21(47%),2(20%),24,32,2,2,0,9(69%),6,1,17,1,41,26(45%),15(48%),5(38%)
Olympiastadion Berlin,"68,844",Spain,Croatia,3,0,2.01,11,5,4,2,365(83%),14,5,11,3,5,3,0,8,3,2.01,1.06,0.95,2.01,2.69,457,365(83%),229,154,20(47%),4(44%),14,21,2,1,0,10(71%),5,3,10,5,55,36(49%),19(66%),12(67%),2.38,16,5,3,3,380(84%),13,0,16,8,5,3,0,10,6,2.38,1.59,0.20,1.59,2.40,517,380(84%),272,184,21(54%),4(29%),23,27,0,0,0,10(71%),9,3,4,2,47,37(51%),10(34%),10(77%)
BVB Stadion Dortmund,"60,512",Italy,Albania,2,1,1.56,17,5,5,4,365(83%),7,5,17,5,5,7,1,12,5,1.56,1.05,0.51,1.56,1.59,809,365(83%),264,483,21(58%),7(47%),17,34,2,2,0,5(56%),15,2,6,0,31,25(61%),6(38%),9(69%),0.50,8,1,2,1,380(84%),7,3,8,5,1,2,0,4,4,0.50,0.43,0.08,0.50,0.59,372,380(84%),217,96,17(41%),2(22%),15,7,1,2,0,5(63%),13,6,15,3,26,16(39%),10(63%),2(29%)
Volksparkstadion,"48,117",Poland,Netherlands,1,2,1.32,12,7,2,2,383(84%),10,3,12,4,7,1,0,8,4,1.32,0.73,0.60,1.32,1.41,295,383(84%),130,102,12(31%),4(24%),13,17,2,0,0,9(60%),7,3,26,2,39,30(44%),9(36%),7(44%),1.46,21,4,3,2,456(88%),8,6,21,14,4,3,0,14,7,1.46,1.34,0.12,1.46,1.15,579,456(88%),230,284,24(53%),6(29%),29,44,0,1,0,11(79%),3,1,21,6,54,38(56%),16(64%),14(70%)
Stuttgart Arena,"54,000",Slovenia,Denmark,1,1,1.10,11,2,2,2,383(84%),12,5,11,7,2,2,1,5,6,1.10,0.63,0.47,1.10,0.39,311,383(84%),139,102,30(58%),5(36%),14,12,3,2,0,7(50%),13,5,30,3,35,26(58%),9(30%),3(38%),1.66,16,4,2,1,456(88%),9,9,16,6,4,6,0,12,4,1.66,0.62,1.04,1.66,1.97,658,456(88%),271,312,17(44%),9(36%),16,33,1,1,0,2(29%),5,2,17,1,40,19(42%),21(70%),1(11%)
Arena AufSchalke,"48,953",Serbia,England,0,1,0.18,6,1,0,0,747(92%),19,2,6,2,1,3,0,1,5,0.18,0.16,0.02,0.18,0.04,504,747(92%),218,220,20(45%),2(11%),19,11,0,2,0,10(77%),5,1,17,2,36,28(44%),8(36%),8(100%),0.52,5,3,2,1,313(84%),8,1,5,1,3,1,1,2,3,0.52,0.48,0.05,0.52,1.45,588,313(84%),243,284,30(52%),2(22%),8,12,1,0,0,6(67%),8,3,22,1,50,36(56%),14(64%),8(44%)
Fuball Arena Mnchen,"61,591",Romania,Ukraine,3,0,1.20,9,5,1,0,747(92%),9,4,9,2,5,2,1,3,6,1.20,0.31,0.90,1.20,1.58,237,747(92%),75,95,15(37%),1(9%),19,10,1,1,0,3(38%),6,5,31,3,37,27(46%),10(48%),11(50%),0.75,13,2,0,0,313(84%),8,8,13,5,2,6,1,5,8,0.75,0.60,0.14,0.75,0.17,591,313(84%),228,288,18(49%),1(4%),13,19,1,1,0,11(65%),5,2,7,2,43,32(54%),11(52%),7(64%)
Frankfurt Arena,"45,181",Belgium,Slovakia,0,1,1.70,16,5,4,4,232(79%),14,5,16,6,5,5,0,10,6,1.70,1.52,0.18,1.70,1.02,573,232(79%),308,180,22(50%),4(29%),18,34,2,3,0,7(50%),2,2,15,3,40,32(54%),8(44%),8(57%),0.57,10,4,1,0,514(89%),10,7,10,4,4,2,0,6,4,0.57,0.53,0.04,0.57,1.37,367,514(89%),170,113,25(40%),6(35%),19,15,1,1,0,4(50%),9,6,19,5,37,27(46%),10(56%),6(67%)
Dsseldorf Arena,"46,425",Austria,France,0,1,0.76,6,3,2,2,232(79%),18,6,6,2,3,1,0,4,2,0.76,0.66,0.10,0.76,1.50,476,232(79%),203,198,14(41%),4(15%),18,19,0,5,0,13(48%),3,5,19,3,48,40(47%),8(30%),4(36%),2.13,14,3,2,2,514(89%),11,2,14,6,3,5,0,12,2,2.13,2.01,0.12,2.13,0.39,453,514(89%),231,159,24(53%),2(17%),23,35,1,2,0,7(47%),6,1,31,3,64,45(53%),19(70%),12(50%)
